region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
3,Futures Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with Community United),Health Services,03/12/2012,,,,,
3,Futures Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Futures Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Garfield Elementary,Accelerating Students through Targeted Approaches,,Experience Corps Bay Area,School volunteers,School volunteers,06/13/2013,David Moren,,,,
2,Garfield Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Garfield Elementary,Extended Learning Time,Transitions & Pathways PreK-12,East Bay Asian Youth Center (EBAYC),Summer enrichment program for incoming 4th and 5th graders (6 classes),Summer Prep Program,11/01/2011,,,,,
2,Garfield Elementary,Extended Learning Time,,OUSD,"Summer Prep Program (4 Classes), Summer Pre-K (1 Class), Summer ESY Classes (2 special ed); EBAYC Enrichment, ESY classes, Summer Pre-K Camp",Summer Prep Program,11/01/2011,,,,,
2,Garfield Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Sylvan Learning Center,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
2,Garfield Elementary,Extended Learning Time,,IMPACT,Sunday tutoring and mentoring,Mentoring and tutoring,06/13/2013,Matthew Kim,,,,
2,Garfield Elementary,Extended Learning Time,,Oakland Parks & Recreation (OPR),After school services,After school program,06/13/2013,Audree Jones,,,,
2,Garfield Elementary,Family & Community Engagement,,Lotus Bloom ,child and family resources,Family Resources,06/13/2013,,,,,
2,Garfield Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Garfield Elementary,Health & Wellness,,Community Health for Asian Americans,Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Garfield Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
2,Garfield Elementary,Health & Wellness,,OUSD,Nurse 1.0 FTE,Health Services,11/11/2011,,,,,
2,Garfield Elementary,Health & Wellness,,OUSD,School Psychologist,Mental Health Services,11/01/2011,,,,,
2,Garfield Elementary,Health & Wellness,,Jewish Family and Children's Service of East Bay,Counseling,Mental Health Services,06/13/2013,Suzanne Berens,,,,
2,Garfield Elementary,Health & Wellness,,La Clinica de la Raza,Counseling and health services,Health Services,06/13/2013,Viola Lujan,,,,
2,Garfield Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/01/2011,,,,,
2,Garfield Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/01/2011,,,,,
2,Garfield Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
2,Garfield Elementary,Strategic Opperational Practices,,Local Initiatives Support Corporation,School resources and funding,Funding,06/13/2013,Marsha Murrington,,,,
2,Garfield Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am - 3:00pm,Early Childhood Education,11/11/2011,,,,,
2,Garfield Elementary,Transitions & Pathways PreK-12,,Lotus Bloom ,Pre-K Early Childhood Education,Early Childhood Education,11/01/2011,,,,,
2,Glenview Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Glenview Elementary,Extended Learning Time,,OUSD OFASS through Measure G,Oakland Fine Arts Summer School hosted at ICS/TCN in 2011,Summer Prep Program,11/11/2011,,,,,
2,Glenview Elementary,Health & Wellness,,Private Therapist,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Glenview Elementary,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/11/2011,,,,,
2,Glenview Elementary,School Culture,,Roots of Empathy,3 classes implementing Roots of Empathy curriculum,Social Emotional Learning Curriculum,11/01/2011,,,,,
2,Glenview Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
2,Glenview Elementary,Transitions & Pathways PreK-12,,Adventure Time,Extended Day Care Center,Early Childhood Education,11/11/2011,,,,,
2,Global Family School Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Melrose Library,Librarian assisted over the summer,Summer Literacy,11/01/2011,,,,,
2,Global Family School Elementary,"College, Career & Workforce",,East Bay University,4th and 5th graders visit in December,College Tour,11/11/2011,,,,,
2,Global Family School Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,ALICE Arts and Literacy in Children's Education,After School Visual and Performing Arts,After School Arts Enrichment,11/11/2011,,,,,
2,Global Family School Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Global Family School Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Cantare Con Vivo,After School Singing,After School Arts Enrichment,11/11/2011,,,,,
2,Global Family School Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
2,Global Family School Elementary,Extended Learning Time,"Science, Technology, Engineering & Mathematics (STEM)",PBS Kids,Summer curriculum and websites for 1st grade,Summer Curriculum,11/01/2011,,,,,
2,Global Family School Elementary,Family & Community Engagement,,OUSD,"Migrant Education Parent Workshops (academic, health, other depending on need)",Parent Workshops,11/11/2011,,,,,
2,Global Family School Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Global Family School Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
2,Global Family School Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,11/01/2011,,,,,
2,Global Family School Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
2,Global Family School Elementary,Health & Wellness,,Playworks Sports for Kids,Physical Education 5 days/week,Physical & Recreational Activity,11/11/2011,,,,,
2,Global Family School Elementary,School Culture,,CBO Mindfulness School,Mindfulness School Program,School Culture,11/01/2011,,,,,
2,Global Family School Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,Grass Valley Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
3,Grass Valley Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Grass Valley Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
3,Grass Valley Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
3,Grass Valley Elementary,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
3,Grass Valley Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Greenleaf Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,ALICE Arts and Literacy in Children's Education,After School Visual and Performing Arts,After School Arts Enrichment,11/11/2011,,,,,
3,Greenleaf Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Greenleaf Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Cantare Con Vivo,After School Singing,After School Arts Enrichment,11/11/2011,,,,,
3,Greenleaf Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
3,Greenleaf Elementary,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, Summer Pre-K Camp",Summer Prep Program,11/11/2011,,,,,
3,Greenleaf Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Greenleaf Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/11/2011,,,,,
3,Greenleaf Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
3,Greenleaf Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
3,Greenleaf Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Greenleaf Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
1,Hillcrest ,Extended Learning Time,,OUSD, Summer Prep Program at Chabot,Summer Prep Program,11/11/2011,,,,,
1,Hillcrest ,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/01/2011,,,,,
1,Hillcrest ,Transitions & Pathways PreK-12,,Adventure Time,Extended Day Care Center,Early Childhood Education,11/11/2011,,,,,
1,Hoover Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Superstars Literacy Inc. ,After School literacy program and life skills,After School Literacy,11/01/2011,,,,,
1,Hoover Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
1,Hoover Elementary,Extended Learning Time,Health & Wellness,Destiny Arts,After School Martial Arts and Hip Hop,After School Enrichment/Physical Activity,11/01/2011,,,,,
1,Hoover Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
1,Hoover Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
1,Hoover Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
1,Hoover Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Hoover Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
1,Hoover Elementary,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
1,Hoover Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,11/11/2011,,,,,
1,Hoover Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Hoover Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
1,Hoover Elementary,School Culture,Extended Learning Time,The San Francisco Study Center and Brothers on the Rise,After School counseling and mediation,After School Mediation,11/01/2011,,,,,
1,Hoover Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
2,Horace Mann Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Bechtel & Learning for Life,After School Reading Intervention,After School Literacy,11/01/2011,,,,,
2,Horace Mann Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Melrose Public Library ,After School Literacy,After School Academic Support,11/11/2011,,,,,
2,Horace Mann Elementary,Extended Learning Time,,AmeriCorps,Two AmeriCorps members - enrichment,Academic Support,11/11/2011,,,,,
2,Horace Mann Elementary,Extended Learning Time,,Eagle Foundation,Funds teacher after school program 1 hour tutoring 2x/week,After School Program,11/11/2011,,,,,
2,Horace Mann Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers. 1 volunteer once a week in many classrooms. Donate supplies/clothing.,Academic Support,11/11/2011,,,,,
2,Horace Mann Elementary,Extended Learning Time,,Learning for Life,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Horace Mann Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
2,Horace Mann Elementary,Family & Community Engagement,,VISTA,After School Family Coordinator and 3 Parent Liaisons,Family Engagement,11/01/2011,,,,,
2,Horace Mann Elementary,Health & Wellness,Family & Community Engagement,Alameda County Nutrition Services,"Nutrition Education: Monthly state tests, parent nutrition class after SSC each month, after school parent nutrition class",Nutrition,11/11/2011,,,,,
